angry AJ0-347 
deschampsia NP0-8 
flexuosa NN1-4 
better-drained NN1-1 
reseeding VVG-1 
multiflora NN1-2 
rhytidiadelphus NP0-1 
loreus NN0-1 
cespitosa NN1-5 
sròn NP0-1 
scourst NP0-1 
ovina/vivipara NN1-2 
riviniana NN1-2 
lanuginosum NN1-2 
squarrosus NN1-2 
plateaus NN2-2 
calypogeia NP0-1 
trichomanis NN1-1 
bigelowii NN2-2 
moss-heath NN1-1 
uncialis NN1-1 
could-ridden AJ0-1 
hilltops NN2-1 
dicranum NP0-1 
majus NN1-1 
geum NP0-4 
rivale NN1-3 
pulchrum NN1-2 
blechnum NP0-3 
oreopteris NN1-1 
limbosperma NN1-2 
spicant NN1-2 
oxalis NP0-1 
acetosella NN1-2 
thelypteris NP0-1 
broadford NP0-7 
naturalists NN2-8 
1982–1987 CRD-1 
bibliographical AJ0-1 
smollett NP0-2 
op. NN1-17 
cit. UNC-10 
1776 CRD-5 
lightfoot NP0-4 
macleods NP0-2 
leiden NP0-6 
phanerogams NN2-1 
virgaurea NN1-1 
stachys NP0-6 
allium NP0-10 
latifolium NP0-1 
ursinum NN1-2 
milkwort NN1-1 
hermetray NP0-1 
flamula AJ0-1 
jovis NP0-1 
shunnish NN1-1 
suinas NP0-1 
shunnas NP0-1 
smyrnium NP0-1 
olusatrum NN1-1 
curran-petris NP0-1 
lapathum NP0-1 
obtusifolius NN1-2 
cochlearia NP0-2 
mille-foil NN1-1 
bursa NP0-2 
pastoris NN1-1 
capsella NP0-1 
bursapastoris NN1-1 
plantine NP0-1 
scorodonia NN1-2 
siderites NN2-1 
galeopsis NN1-1 
tetrahit NN1-1 
pinck NN1-1 
tormentil NP0-1 
louden NP0-2 
geologist NN1-4 
birken AJ0-1 
birches NN2-5 
place-names NN2-5 
macgillivray NP0-11 
niven NP0-3 
fully-grown AJ0-1 
vallay NP0-1 
1966,1979 CRD-1 
intertidal AJ0-15 
1830–1930 CRD-1 
marischal AJ0-1 
incurious AJ0-3 
ruts NN2-6 
lacustrine AJ0-1 
clefts NN2-1 
rills NN2-2 
corylifolia NN1-1 
tomentosa NN1-1 
periclymaenum NN1-1 
ornithologist NN1-6 
311 CRD-3 
aug. NP0-7 
argemone NN1-1 
hippuris NP0-1 
lycopsis NP0-1 
12. CRD-2 
13. CRD-2 
14. CRD-1 
spicata NN1-1 
wilsoni NN2-1 
aira NP0-1 
16. CRD-2 
shiant NN1-1 
binervis NN1-1 
lychnis NN1-3 
17. CRD-3 
18. CRD-1 
lamium NN1-1 
intermedium NN1-1 
balticus NN1-1 
petasites NN2-4 
sagina NP0-1 
sceleratus NN1-1 
pyrethrum NP0-1 
extensa NN1-1 
hybridus NN1-1 
naylor NP0-9 
cumming NP0-2 
cybele NP0-1 
britannica UNC-7 
1847–1859 CRD-1 
vice-counties NN2-1 
decorator NN1-11 
seq. UNC-2 
1892b UNC-2 
seq UNC-1 
1890–1895 CRD-1 
shoolbred AJ0-1 
stirton NP0-1 
outliers NN2-2 
mathieson NP0-1 
turrill NP0-2 
flannan AJ0-1 
rona NP0-5 
harvie-brown NN1-1 
1905b UNC-1 
ed. NN1-5 
cataloguing VVG-4 
druce NP0-7 
comital NP0-1 
1930–190 CRD-1 
biogeographical AJ0-1 
1941a UNC-4 
690 CRD-2 
segregates VVZ-1 
hybrids NN2-25 
1939b UNC-2 
1950a UNC-4 
1956b UNC-1 
re-recorded VVD-2 
1937a UNC-1 
c/o PRP-6 
milne-redhead NP0-2 
maybud NP0-1 
b.s.b.i. NP0-2 
botanise VVI-1 
h.perring NP0-1 
dhead UNC-1 
enmity NN1-5 
w.heslop NP0-1 
copping NP0-2 
conacher NP0-1 
scalpay NP0-1 
flodday NP0-1 
muldoanich NP0-1 
sandray NP0-1 
1954a UNC-3 
coppay NP0-1 
shillay NP0-1 
killegray NP0-1 
1950b UNC-2 
ensay NP0-1 
stuley NP0-1 
soay NN1-2 
jewell NN1-1 
1977a UNC-2 
1977b UNC-1 
askernish AJ0-1 
balranald NN1-2 
baleshare/kirkibost NP0-1 
duin NN1-1 
druidibeg NP0-1 
a'mhachair NN1-1 
stilligarry NP0-1 
howmore NP0-1 
fada NP0-1 
feithean NP0-1 
macrophytic AJ0-1 
1979c UNC-1 
s.s.s.i.s NP0-2 
1982–87 CRD-1 
1939/81 CRD-1 
i.d.p. NP0-3 
urquhart NP0-1 
haymeadows NN2-1 
macrophytes NN2-1 
philp NP0-1 
eh8 UNC-2 
9ld UNC-1 
celts NN2-13 
docken NN1-1 
frontel NN1-1 
home-remedy NN1-1 
spring-time NN1-1 
infusing VVG-2 
greenish-yellow AJ0-2 
silverweed NN1-3 
breads NN2-2 
gael NP0-11 
subsisted VVN-1 
stonecrop NN1-2 
anglicum NN1-1 
searbh NN1-1 
mariner NN1-9 
antiscorbutic AJ0-1 
widely-known AJ0-1 
counteracted VVN-2 
gaels NN2-5 
scurvey-grass NN1-3 
basketful NN1-2 
foxglove NN1-4 
digitalis NN1-2 
w.h.o. NP0-1 
whey NN1-16 
infusions NN2-1 
scurvy-grass AJ0-1 
effectual AJ0-6 
diuretic AJ0-4 
purgative AJ0-2 
fluxes NN2-2 
bilberries NN2-9 
feverfew NN1-1 
tanacetum NP0-4 
parthenium NN1-1 
migraines NN2-4 
aquavitae NN2-4 
leguminosae NP0-1 
lathyrus NN1-3 
montanus NN1-2 
sundew NN1-4 
uncomplimentary AJ0-3 
earnach NN1-1 
murrain NN1-1 
redeeming AJ0-16 
parmelia NP0-1 
saxatilis NN1-1 
english-speakers NN2-6 
crotal AJ0-4 
drowns VVZ-4 
sealasdair NP0-1 
seileasdair NP0-1 
orange-red AJ0-4 
segetum NN1-1 
thatchers NN2-4 
gaeldom NP0-1 
hop(s) NN2-1 
thickening VVG-5 
crock NN1-2 
staunches VVZ-1 
somniferum NN1-1 
dubium NN1-1 
antennaria NP0-1 
beltane NP0-2 
flos-cuculi NN2-1 
campanula NN1-6 
conium NP0-1 
maculatum NN1-1 
hosea NP0-2 
springeth VVZ-1 
water-dropwort NN1-1 
oenanthe NP0-1 
crocata NN1-1 
water-cress NN1-1 
fumitory NN1-2 
fumaria NP0-1 
earth-smoke AJ0-1 
ragwort NN1-4 
calum NP0-4 
bindweed NN1-5 
calystegia NP0-1 
soldanella NN1-1 
columba NP0-4 
carmina UNC-1 
gadelica NP0-1 
second-sight AJ0-1 
enchantment NN1-9 
armpit NN1-3 
cirsium NN1-7 
arvense NN1-1 
roid NP0-1 
macdonalds NP0-1 
macalisters NP0-1 
hawthorn NN1-19 
monogyna NN1-1 
tutin NP0-3 
bsbi AJ0-1 
italic AJ0-7 
author(s) NN2-1 
intraspecific AJ0-1 
blackwood NP0-5 
dwelly NP0-2 
gaelic-english AJ0-1 
1901–11 CRD-1 
gairm NP0-2 
j.l.campbell NP0-1 
macleòid NP0-1 
macthomais NP0-1 
bith-eolas NN2-1 
etymology NN1-2 
purport VVB-6 
** UNC-6 
laureen NP0-5 
harpsden NP0-16 
henley-on-thames NP0-4 
4155 CRD-1 
secretary/manager NN1-4 
2007 CRD-3 
enlightening VVG-6 
oversights NN2-1 
c.1966 UNC-1 
infuriatingly AV0-3 
bloxam NP0-7 
social-history NN1-1 
huntercombe NP0-12 
anker NP0-9 
rawlins NP0-14 
shiplake NP0-7 
bolney NP0-19 
caldecott NP0-12 
peppard NP0-17 
streatley NP0-2 
southfield NP0-1 
ewelme NP0-1 
encircling VVG-17 
scantily AV0-5 
minuted VVN-3 
simonds NP0-2 
unminuted AJ0-1 
pin-pointing VVG-1 
frilford NP0-1 
harewood NP0-6 
luker NP0-21 
1909–10 CRD-1 
300-strong AJ0-1 
cannily AV0-2 
passant UNC-1 
6s. NN0-2 
6ft. NN0-1 
vardon NN1-14 
pyecombe NP0-1 
carnoustie NP0-1 
dalmahoy NP0-1 
blairgowrie NP0-1 
gleneagles NP0-5 
brawest AJS-1 
brakspear NP0-15 
1909–1933 CRD-1 
attendees NN2-1 
consols NN2-2 
boothby NP0-3 
assuredly AV0-3 
unassigned AJ0-1 
swum VVN-8 
e.h NP0-2 
drewe NP0-1 
quain NN1-1 
fryer NN1-20 
k.k. NP0-2 
mckenzie NP0-18 
gillotts NP0-1 
hereafter AV0-6 
re-purchased VVN-1 
holiday-maker NN1-2 
well-grounded AJ0-3 
untiring AJ0-7 
gibes NN2-2 
susman NP0-2 
suttons NP0-12 
caddies NN2-22 
£712 NN0-1 
£76 NN0-1 
scullery NN1-11 
wayleave NN1-1 
non-bondholder NN1-2 
pro-tem AJ0-1 
36-hole AJ0-5 
'flu NN1-1 
tooting NP0-6 
non-appearance NN1-7 
c.1945 UNC-1 
push-bike NN1-1 
twitchett NP0-4 
greensman/caddie NN1-1 
seldomly AV0-1 
sportsman NN1-23 
chalkpit NN1-3 
580 CRD-4 
familiarly AV0-6 
under-the-wood NN1-1 
1d. NN0-5 
lockers NN2-4 
15s. NN0-4 
wrighton NP0-1 
18s. NN0-1 
re-arranging VVG-2 
£37 NN0-1 
17s CRD-1 
8d. NN0-4 
15s CRD-4 
veranda NN1-4 
quart NN1-3 
keene NP0-1 
6.25 CRD-1 
handicapping AJ0-5 
subcommittees NN2-3 
9s. NN0-3 
gated AJ0-2 
w.p. NP0-1 
j.b. NP0-2 
p.g NP0-1 
l.p. NN1-1 
sewell NP0-3 
godby NP0-1 
cotesworth NP0-1 
1908–09 CRD-1 
heavy-weight NN1-2 
1920's CRD-3 
5d. NN0-2 
4d. NN0-1 
caddying VVG-5 
divots NN2-2 
deem VVI-4 
scott-crickett NP0-1 
pegs NN2-49 
brushwood NN1-4 
tobaccos NN2-1 
prettiness NN1-5 
4- NN1-2 
5-ball AJ0-1 
1.15–2.30 CRD-1 
close-mesh AJ0-1 
insufferably AV0-3 
-shaped AJ0-1 
confusingly AV0-4 
3d. NN0-3 
496 CRD-1 
r.h. UNC-7 
dissociated VVD-2 
1009 CRD-1 
h.r. NN0-2 
golf-cricketer NN1-1 
l.c. NP0-1 
e.m NP0-2 
sub-80 AJ0-2 
recurs. NN0-1 
mis-use NN1-1 
bondholding NN1-5 
0s. NN0-8 
30's CRD-1 
assignability NN1-1 
non-member AJ0-2 
transferees NN2-1 
approvals NN2-5 
eight-strong AJ0-1 
franchised VVN-4 
l.g.u. NP0-3 
roquette NP0-3 
batt NN1-11 
1903–1950 CRD-1 
j.a.f. NP0-1 
moncreiff NP0-1 
lumbago NN1-2 
leitch NP0-5 
silloth NP0-1 
1910–1928 CRD-1 
1920–1925 CRD-2 
1920–25 CRD-1 
rathcreedan NP0-13 
ranelagh VVB-1 
connie NP0-20 
holton NP0-7 
16–7–15 CRD-1 
9–12–18 CRD-1 
m.p. NP0-4 
1920–23 CRD-1 
bellehatch NN1-1 
ladd NP0-4 
330-yard NN1-1 
340-yard AJ0-1 
stoneham NP0-2 
kindnesses NN2-5 
bountifully AV0-2 
308 CRD-11 
116yds. NN0-1 
5ins. NN2-1 
2-club AJ0-1 
scott-russell NP0-2 
brassie NN1-2 
jigger NN1-2 
seven-strong AJ0-1 
inter-club NN1-1 
+4 CRD-1 
ralf NP0-2 
wastie NP0-2 
£113 NN0-1 
grossed VVD-2 
abort VVI-8 
£91 NN0-1 
£64 NN0-3 
£720 NN0-1 
9d. NN0-1 
£1,406 NN0-1 
£863 NN0-1 
1914–1923 CRD-1 
349 CRD-3 
5ft. NN0-1 
£688 NN0-1 
greenkeeper NN1-5 
horse-mowing AJ0-1 
3ft. NN0-1 
–4ft VVB-1 
mowers NN2-7 
r.f.c. NP0-1 
hermon-hodge NP0-1 
wyfold NP0-1 
borocourt NP0-1 
secretaryship NN1-1 
perking VVG-3 
gentlewoman NN1-1 
re-introduction NN1-2 
re-possessed VVN-1 
£215 NN0-2 
bayldon NP0-2 
four-strong AJ0-2 
appraising VVG-6 
greenkeeping AJ0-4 
skoyles NP0-2 
climaxed VVD-1 
bunkering VVG-1 
pluckily AV0-1 
petras NN2-1 
auriol NP0-4 
loraine NP0-1 
cressall NP0-1 
madge NP0-51 
mollie NP0-21 
maisie NP0-4 
nettlebed NP0-1 
spratt NP0-4 
woodburn-bamberger NP0-1 
1951–56 CRD-1 
abrahams NP0-6 
1962–63 CRD-1 
kiki NP0-1 
1964–65 CRD-1 
5.3.5.3.4.4.3.5.4. CRD-1 
4.3.5.3.5.4.3.4.5(36) UNC-1 
stallwood NP0-1 
alyson NP0-4 
re-engaged VVD-1 
hembury NP0-2 
2d. NN0-2 
lancelot NP0-6 
henly NP0-16 
1922–36 CRD-1 
golfwise AV0-1 
cesspit NN1-4 
c.w. NP0-4 
pedler NP0-20 
25s. NN0-1 
stewardess NN1-11 
13–18 CRD-1 
c.1915 UNC-1 
touchy AJ0-13 
ungentlemanly AJ0-3 
weekly-paid AJ0-1 
working-with-hands NN2-1 
greensman NN1-2 
supplementing VVG-7 
rectifying VVG-4 
boot-boy NN1-2 
'80's CRD-1 
tit-bits NN2-4 
caddie-master NP0-1 
hambleden NP0-2 
whereafter NN1-1 
miscellany NN1-4 
jeeringly AV0-1 
a.w NP0-2 
daw NP0-3 
£281 NN0-1 
£944 NN0-1 
coun. NP0-1 
s.j. NP0-1 
puns NN2-11 
tea-smelling AJ0-1 
flackwell NP0-1 
hole-in-one CRD-2 
high-spirited AJ0-3 
viz NP0-12 
imparts VVZ-6 
0% NN0-1 
chalcraft NP0-10 
1928–69 CRD-2 
re-negotiated VVN-1 
geo NP0-5 
bushell VVB-1 
c.1930 UNC-1 
j.a NP0-3 
driskell VVB-1 
mans NP0-11 
394.2 CRD-1 
m.p.h NN0-2 
forbearing VVG-1 
bar-hatch AJ0-2 
7–3 CRD-1 
booth-mason NP0-2 
one-club AJ0-1 
4-iron NN1-1 
crockery NN1-5 
re-imposed VVN-2 
redeem VVI-17 
redemptions NN2-2 
buying-in NN1-4 
erroneously AV0-2 
14s. NN0-1 
greenkeepers NN2-2 
hole-in-one-golfer NN1-1 
blackham NP0-1 
girdler NP0-1 
two-guinea AJ0-1 
non-players NN2-1 
forego VVI-6 
ell NP0-5 
a.n NP0-2 
capt. NP0-5 
invalidated VVD-6 
ever-accommodating AJ0-1 
£5s. NN0-1 
materialising VVG-1 
blitzed VVN-2 
resuscitated VVN-4 
83-year-old AJ0-1 
paddick NP0-1 
chalkhouse NP0-1 
re-awaken VVI-2 
wormwald VVB-1 
radiogram NN1-3 
rabbiting VVG-4 
aubrey NP0-15 
francis-francis NP0-6 
micklem NP0-3 
mccready NP0-8 
p.b. UNC-3 
5-day AJ0-2 
designations NN2-2 
oxoniensia NN1-1 
xvi CRD-2 
straddled VVD-4 
16″ NN2-1 
11″ NN2-1 
1¼″ NN2-1 
287–361 CRD-1 
phoebe NP0-263 
b.e.t NP0-1 
65th ORD-4 
f.r. NP0-1 
g.t. NP0-2 
weekended VVD-1 
spear-headed VVD-1 
prize-giving NN1-4 
g.h.j. NP0-1 
hustlers NN2-1 
floodlighting VVG-1 
lewendon NP0-1 
£1,500–£2,000 NN0-1 
o'gorman NP0-7 
mid-60 CRD-1 
re-arrangement NN1-1 
re-siting VVG-1 
up-keep NN1-1 
9.30 CRD-9 
a.m AV0-30 
bests VVZ-2 
16s. NN0-1 
7d. NN0-1 
craik NP0-1 
freda NP0-8 
gilbride NP0-1 
woodblock NN1-1 
claisse NP0-3 
autocracy NN1-5 
liker NP0-1 
1975–1977 CRD-1 
nobly AV0-8 
pen-name AJ0-2 
jayemdoubleyou NN1-2 
willson NP0-2 
1961–71 CRD-1 
naish NP0-14 
1978–83 CRD-1 
never-had-it-so-good AJ0-2 
1966/early UNC-1 
tarmacadamed VVD-1 
s.e.b. NP0-1 
drink/driving NN1-2 
breathalyser NN1-1 
felstead NP0-1 
ayres NP0-5 
£1,400 NN0-6 
elms NN2-9 
fusarium NN1-1 
surfacing VVG-9 
agronomical AJ0-1 
r.c.e. NP0-2 
self-winding NN1-1 
inflation-sick AJ0-1 
£126.50 NN0-1 
v.a.t. NN1-4 
£165 NN0-4 
straight-jacket NN1-1 
criticality NN1-1 
book-keeping NN1-4 
discordant AJ0-10 
a.t NP0-2 
danesfield NP0-3 
durkin NP0-4 
1971–1973 CRD-1 
1964–66 CRD-1 
re-dedicated VVN-2 
re-appeared VVD-1 
met. NN1-1 
worple NP0-3 
domiciled VVN-7 
begorrah ITJ-2 
burdett NP0-1 
1851–1928 CRD-1 
away-days NN2-3 
mid-1970's CRD-1 
r.m. NP0-3 
socially-minded AJ0-1 
herriot NP0-3 
pro-am AV0-4 
reardon NP0-1 
badgemore NP0-1 
4-2-3-3-4-4-3-5-5-(33) AJ0-1 
4-3-4-3-5-3-2-4-5-(33) NN1-1 
orris NP0-2 
farmar NP0-1 
b.b. NP0-3 
maxted AJ0-1 
60-hole AJ0-1 
laccohee NP0-1 
5.30 CRD-13 
e.j.w. NP0-1 
cheryl NP0-5 
fishwick NP0-9 
9:2 CRD-2 
17-strong AJ0-2 
6:5 CRD-1 
opportunistic AJ0-8 
three-part AJ0-7 
self-assertiveness NN1-4 
£31,000 NN0-2 
187:1 CRD-1 
obscurities NN2-5 
colins NP0-1 
dryland NP0-1 
£69,000 NN0-1 
loan/supply NN1-1 
astuteness NN1-3 
7:6 CRD-1 
contravention NN1-6 
redecorations NN2-1 
g.c. NP0-3 
openshaw NP0-1 
24-year AJ0-3 
ainsdale NP0-1 
22-year AJ0-1 
rippon NP0-1 
stinchcombe NP0-1 
gillott NP0-1 
bareham NP0-2 
13-year-olds NN2-1 
rosser NP0-1 
terris NP0-1 
re-instated VVD-2 
inter-linked VVN-1 
floate AJ0-1 
f.h NP0-1 
e.n NP0-1 
c.t NP0-1 
a.s NP0-2 
b.c. NP0-1 
b.b.o.n.t. NP0-1 
all-seasons AJ0-1 
o.b.e. NP0-2 
bix NP0-1 
tufted AJ0-7 
unmown NN1-1 
chiff VVB-1 
chaffs NN2-1 
quaking VVG-4 
brimstone NN1-4 
blackthorn NN1-4 
melick NN1-1 
whorled AJ0-1 
woodruff NN1-2 
six-spotted AJ0-1 
silver-washed AJ0-1 
fritillary AJ0-1 
nuthatches NN2-1 
treecreepers NN2-1 
goldcrests NN2-1 
nonchalantly AV0-9 
harebells NN2-3 
bellflowers NN2-1 
202 CRD-5 
outward-looking AJ0-6 
state-sponsored AJ0-1 
nuture VVB-1 
devastate VVI-2 
asraam NN1-1 
damge VVI-1 
redouble VVI-6 
holyrood NP0-3 
£55,000 NN0-5 
counter-inflation NN1-1 
thrift NN1-21 
lightly-taxed AJ0-1 
33p NN0-6 
83p NN0-3 
newly-privatised AJ0-1 
renationalisation NN1-2 
home-owning AJ0-4 
capital-owning AJ0-1 
lighten VVI-13 
tessas NN2-5 
over-regulation NN1-1 
revisal NN1-1 
£11,000 NN0-11 
market-testing NN1-2 
lecs NN2-2 
cooling-off AJ0-7 
timeshare NN1-4 
charterline NN1-1 
toughen VVI-5 
devolving VVG-3 
contracting-out NN1-5 
catch-all AJ0-6 
aptitudes NN2-1 
nationally-defined AJ0-1 
a+ UNC-1 
work-based AJ0-1 
well-respected AJ0-2 
£2,800 NN0-2 
compacts NN2-3 
yt NN1-2 
jobclubs NN2-2 
job-destroying AJ0-2 
12.9 CRD-4 
wildcat NN1-10 
pre-strike AJ0-9 
all-employee AJ0-1 
non-tax AJ0-1 
after-school AJ0-5 
burglaries NN2-8 
civilianisation NN1-1 
ambushing VVG-3 
women-only AJ0-2 
joy-rider NN1-1 
joy-riding NN1-1 
re-offend VVB-1 
shop-lifting NN1-1 
joy-riders NN2-3 
encampments NN2-2 
slopping VVG-5 
ministerially AV0-1 
tape-recorded AJ0-1 
anti-pornography AJ0-1 
erratically AV0-5 
£129 NN0-4 
expeditious AJ0-2 
finger-printing NN1-3 
europol NN1-1 
legalise VVI-3 
drug-trafficking NN1-4 
in-patients NN2-4 
by-passes NN2-2 
69,000 CRD-1 
domiciliary AJ0-4 
helplines NN2-4 
£10.70 NN0-2 
earnings-related AJ0-4 
two-child AJ0-2 
£17.45 NN0-1 
25-fold AJ0-1 
304 CRD-4 
cheetahs NN2-3 
leghold NN1-1 
tethering VVG-2 
tethers VVZ-3 
rabies NN1-13 
reinvigorated VVD-2 
part-share NN1-1 
commonhold NN1-2 
house-buyers NN2-3 
lodgers NN2-16 
153,000 CRD-1 
360,000 CRD-3 
eyesores NN2-1 
cityscapes NN2-1 
fullest AJS-20 
through-ticketing AJ0-1 
coning VVG-1 
deregulating VVG-3 
bus-stops NN2-1 
fuel-efficient AJ0-1 
cabotage NN1-3 
crossrail NN1-2 
shires NN2-16 
enabler NN1-1 
uncap VVI-2 
poundage NN1-3 
ubr NN1-1 
ura NN1-1 
remotivating VVG-1 
equitably AV0-2 
rdc NP0-2 
ea NP0-10 
canvass VVI-7 
bursaries NN2-5 
£11.5 NN0-1 
nhmf NP0-1 
multi-channel AJ0-1 
telecommunication NN1-2 
howie NP0-6 
waiting-times NN2-1 
compensatory AJ0-6 
a55 UNC-1 
locally-elected AJ0-1 
curbed VVN-5 
jettisoned VVN-6 
life-time. AJ0-1 
merest AJS-16 
unexceptional AJ0-7 
thermodynamics NN1-3 
disobey VVI-3 
energy-rich AJ0-1 
mid-nineteenth ORD-11 
healthiest AJS-10 
biologist/mathematician NN1-1 
j.b.s. NP0-1 
meteors NN2-3 
predestined AJ0-2 
cairns-smith NP0-2 
facsimiles NN2-3 
putatively AV0-2 
carbon-based AJ0-11 
hyman NP0-3 
hartman NP0-10 
p.5 UNC-1 
lignin NN1-3 
fancier AJC-4 
glycogen NN1-4 
glycoproteins NN2-1 
hordein NN1-1 
zein NN1-1 
sulphur-containing AJ0-1 
rna NN1-17 
re-forms VVZ-2 
non-metals NN2-1 
denatured VVN-1 
45°c NN0-2 
-270°c UNC-1 
spins VVZ-11 
replenishes VVZ-1 
titan NN1-6 
p.93 UNC-2 
inimical AJ0-16 
synthesize VVB-1 
oxygenating VVG-1 
respire VVB-4 
stromatolites NN2-1 
respires VVZ-1 
anaerobically AV0-1 
prokaryotes NN2-8 
eukaryotes NN2-11 
sponging VVG-3 
primitiveness NN1-2 
prokaryote NN1-2 
cytoplasm NN1-5 
celled VVD-3 
eukaryotic AJ0-10 
eukaryote NN1-2 
yeasts NN2-5 
anaerobes NN2-1 
archaebacteria NN1-1 
airless AJ0-7 
cairn-smith NP0-1 
silicon-based AJ0-1 
meteorites NN2-14 
protista NN1-1 
ribonucleic AJ0-2 
second-by-second ORD-1 
macromolecule NN1-1 
macromolecules NN2-1 
symbiosis NN1-12 
tennyson NP0-27 
–operation NN1-1 
ineluctable AJ0-4 
symbiotic AJ0-13 
innately AV0-11 
much-favoured AJ0-1 
lionesses NN2-1 
margulis NP0-2 
coming-together AV0-4 
chloroplasts NN2-5 
chlorophyll NN1-8 
intriguingly AV0-3 
chloroplastic AJ0-1 
mucilage NN1-1 
parasitic AJ0-13 
organelle NN1-1 
adaptively AV0-1 
compressible AJ0-1 
sponge-like AJ0-1 
protein-fat AJ0-1 
earthworms NN2-9 
vacuole NN1-2 
inveterately AV0-1 
electro-chemical AJ0-1 
hs NP0-1 
calorie– NN1-1 
celsius NP0-8 
intolerably AV0-3 
+45°c UNC-1 
nutritionists NN2-3 
kilocalorie NN1-2 
nutritionalists NN2-1 
kcals NN2-3 
evaporates VVZ-10 
ebbs VVZ-3 
neap AJ0-2 
gyration NN1-2 
percolates VVZ-1 
saltier AJC-1 
oceanographic AJ0-2 
climatological AJ0-2 
niño NP0-15 
re-deposited VVN-1 
tectonics NN2-2 
rough-hewn AJ0-5 
sphinx NN1-7 
gouge VVB-1 
river-deltas NN2-1 
water-formed AJ0-1 
sand-bars NN2-1 
shore-line NN1-3 
glasswort NN1-1 
groins NN2-1 
sea-walls NN2-1 
once-thriving AJ0-1 
land-based AJ0-7 
waders NN2-7 
agitates VVZ-1 
fountain-head NN1-1 
scarified VVD-1 
super-saturated AJ0-1 
p.117 UNC-1 
patchiness NN1-6 
re-cycling NN1-2 
photic AJ0-3 
anchoveta NN1-5 
excrete VVB-3 
overgrowth NN1-4 
cyanobacteria NN1-4 
overgrowths NN2-1 
tunicates NN2-2 
sea-squirts NN2-1 
vanadium NN1-1 
fertilizers NN2-7 
biotransformation NN1-1 
all-accommodating NN1-1 
dingoes NN2-1 
out-competed VVD-1 
thylacine NN1-1 
haplochromines NN2-5 
haplochromis NN1-1 
cichlidae NP0-1 
cichlids NN2-1 
re-convene VVI-1 
haplochromine NN1-2 
anoxic AJ0-2 
tanganyika NP0-6 
desalination NN1-2 
salination NN1-3 
rangelands NN2-1 
land-mass NN1-1 
in-coming AJ0-3 
resurfaces VVZ-2 
acacias NN2-1 
wattles NN2-1 
belly-high AJ0-1 
sowed VVD-6 
overgrazed VVN-1 
percolating VVG-1 
tree-cover NN1-2 
over-salinated VVD-1 
salt-tolerant AJ0-1 
salt-bushes NN2-1 
excretes VVZ-1 
tamarugo NN1-1 
restorable AJ0-1 
salinated VVN-1 
percolated VVN-1 
ichkeul NP0-4 
aswan NP0-9 
greylag VVB-2 
wigeon NN1-3 
coot NN1-2 
white-headed AJ0-1 
hydrologist NN1-1 
damming AJ0-5 
sluices NN2-4 
pharaohs NN2-3 
re-direct VVB-1 
640 CRD-6 
over-reached VVD-2 
pores NN2-17 
floodwater NN1-3 
bilharzia NN1-1 
trachoma NN1-1 
technology-inspired AJ0-1 
re-directed VVN-1 
spoliation NN1-1 
sterilized VVN-1 
realize VVI-97 
invariable AJ0-9 
avariciously AV0-1 
insouciantly AV0-2 
deferentially AV0-2 
land-bound AJ0-1 
variousness NN1-2 
precipitously AV0-3 
encroaches VVZ-1 
24°c NN0-1 
anchovies NN2-7 
30°c NN0-2 
anchovy NN1-9 
geophysical AJ0-2 
gyre NN1-2 
bioluminescence NN1-4 
p.53 UNC-1 
euphotic AJ0-1 
17°c NN0-1 
5°c NN0-3 
metabolizes VVZ-1 
mid-ocean NN1-2 
3.5°c UNC-1 
multicellular AJ0-3 
eelgrass NN1-1 
sargasso NP0-4 
sargassum NP0-2 
photosynthesize VVB-2 
zooplankton NN1-2 
animal–that NN1-1 
provender NN1-1 
absentees NN2-9 
multi-celled AJ0-1 
multi-cellular AJ0-3 
copepods NN2-2 
euphausiid AJ0-1 
minke NN1-4 
man-of-war NN1-1 
physalia NP0-2 
velella NN1-1 
sessile AJ0-4 
pelagikos NN2-1 
teleosts NN2-2 
cetaceans NN2-75 
gas-filled AJ0-2 
sea-snakes NN2-1 
sirenians NN2-1 
dugongs NN2-2 
manatees NN2-2 
puffins NN2-6 
auks NN2-4 
terns NN2-8 
pinniped AJ0-1 
sea-lions NN2-2 
walruses NN2-1 
sea-otter NN1-1 
galapagos NP0-7 
euphausiids NN2-1 
breathes VVZ-13 
teleost VVB-1 
swim-bladders NN2-1 
swim-bladder NN1-1 
brittle-stars NN2-1 
sea-cucumbers NN2-1 
whelk NN1-2 
plaice NN0-17 
flounders NN2-5 
dwells VVZ-8 
puny AJ0-11 
anglerfish NN1-2 
deepwater AJC-2 
astronesthes VVZ-1 
browsers NN2-8 
pathological AJ0-17 
reawakening NN1-4 
re-stirring AJ0-1 
colloquially AV0-3 
over-heating NN1-1 
outfalls NN2-3 
inter-tidal AJ0-2 
mucus-like AJ0-1 
egrets VVZ-1 
tube-living AJ0-1 
limestone-producing AJ0-1 
dots NN2-39 
oil-spills NN2-1 
wait-and-see VVB-2 
over-fishing NN1-1 
conversationists NN2-1 
whalers NN2-7 
-126°c UNC-1 
+58°c UNC-1 
biomes NN2-7 
day-length NN1-1 
re-directing VVG-1 
transpiring VVG-1 
boreal AJ0-3 
mid-latitudes NN2-1 
schaller NP0-1 
beagle NP0-2 
downpours NN2-2 
gargoyle NN1-1 
p.124 UNC-1 
mind-blowing AJ0-2 
tl NP0-87 
